var,description
"ta_6_3","One-shot learning: see only one labeled image of a new object, and then be able to recognize the object in real world scenes, to the extent that a typical human can (i.e. including in a wide variety of settings). For example, see only one image of a platypus, and then be able to recognize platypuses in nature photos. The system may train on labeled images of other objects. Currently, deep networks often need hundreds of examples in classification tasks1, but there has been work on one-shot learning for both classification2 and generative tasks3.1 Lake et al. (2015). Building Machines That Learn and Think Like People2 Koch (2015). Siamese Neural Networks for One-Shot Image Recognition3 Rezende et al. (2016). One-Shot Generalization in Deep Generative Models - high chance (90%)"
"ta_7_1","See a short video of a scene, and then be able to construct a 3D model of the scene good enough to create a realistic video of the same scene from a substantially different angle.For example, constructing a short video of walking through a house from a video taking a very different path through the house. - small chance (10%)"
"ta_7_2","See a short video of a scene, and then be able to construct a 3D model of the scene good enough to create a realistic video of the same scene from a substantially different angle.For example, constructing a short video of walking through a house from a video taking a very different path through the house. - even chance (50%)"
"ta_7_3","See a short video of a scene, and then be able to construct a 3D model of the scene good enough to create a realistic video of the same scene from a substantially different angle.For example, constructing a short video of walking through a house from a video taking a very different path through the house. - high chance (90%)"
"ta_8_1","Transcribe human speech with a variety of accents in a noisy environment as well as a typical human can. - small chance (10%)"
"ta_8_2","Transcribe human speech with a variety of accents in a noisy environment as well as a typical human can. - even chance (50%)"
"ta_8_3","Transcribe human speech with a variety of accents in a noisy environment as well as a typical human can. - high chance (90%)"
"ta_9_1","Take a written passage and output a recording that can’t be distinguished from a voice actor, by an expert listener. - small chance (10%)"
"ta_9_2","Take a written passage and output a recording that can’t be distinguished from a voice actor, by an expert listener. - even chance (50%)"
"ta_9_3","Take a written passage and output a recording that can’t be distinguished from a voice actor, by an expert listener. - high chance (90%)"
"ta_10_1","Routinely and autonomously prove mathematical theorems that are publishable in top mathematics journals today, including generating the theorems to prove. - small chance (10%)"
"ta_10_2","Routinely and autonomously prove mathematical theorems that are publishable in top mathematics journals today, including generating the theorems to prove. - even chance (50%)"
"ta_10_3","Routinely and autonomously prove mathematical theorems that are publishable in top mathematics journals today, including generating the theorems to prove. - high chance (90%)"
"ta_11_1","Perform as well as the best human entrants in the Putnam competition—a math contest whose questions have known solutions, but which are difficult for the best young mathematicians. - small chance (10%)"
"ta_11_2","Perform as well as the best human entrants in the Putnam competition—a math contest whose questions have known solutions, but which are difficult for the best young mathematicians. - even chance (50%)"
"ta_11_3","Perform as well as the best human entrants in the Putnam competition—a math contest whose questions have known solutions, but which are difficult for the best young mathematicians. - high chance (90%)"
"ta_12_1","Defeat the best Go players, training only on as many games as the best Go players have played.  For reference, DeepMind’s AlphaGo has probably played a hundred million games of self-play, while Lee Sedol has probably played 50,000 games in his life1. 1 Lake et al. (2015). Building Machines That Learn and Think Like People - small chance (10%)"
"ta_12_2","Defeat the best Go players, training only on as many games as the best Go players have played.  For reference, DeepMind’s AlphaGo has probably played a hundred million games of self-play, while Lee Sedol has probably played 50,000 games in his life1. 1 Lake et al. (2015). Building Machines That Learn and Think Like People - even chance (50%)"
"ta_12_3","Defeat the best Go players, training only on as many games as the best Go players have played.  For reference, DeepMind’s AlphaGo has probably played a hundred million games of self-play, while Lee Sedol has probably played 50,000 games in his life1. 1 Lake et al. (2015). Building Machines That Learn and Think Like People - high chance (90%)"
"ta_13_1","Beat the best human Starcraft 2 players at least 50% of the time, given a video of the screen. Starcraft 2 is a real time strategy game characterized by:Continuous time playHuge action spacePartial observability of enemiesLong term strategic play, e.g. preparing for and then hiding surprise attacks. - small chance (10%)"
"ta_13_2","Beat the best human Starcraft 2 players at least 50% of the time, given a video of the screen. Starcraft 2 is a real time strategy game characterized by:Continuous time playHuge action spacePartial observability of enemiesLong term strategic play, e.g. preparing for and then hiding surprise attacks. - even chance (50%)"
"ta_13_3","Beat the best human Starcraft 2 players at least 50% of the time, given a video of the screen. Starcraft 2 is a real time strategy game characterized by:Continuous time playHuge action spacePartial observability of enemiesLong term strategic play, e.g. preparing for and then hiding surprise attacks. - high chance (90%)"
"ta_14_1","Play a randomly selected computer game, including difficult ones, about as well as a human novice, after playing the game less than 10 minutes of game time. The system may train on other games. - small chance (10%)"
"ta_14_2","Play a randomly selected computer game, including difficult ones, about as well as a human novice, after playing the game less than 10 minutes of game time. The system may train on other games. - even chance (50%)"
"ta_14_3","Play a randomly selected computer game, including difficult ones, about as well as a human novice, after playing the game less than 10 minutes of game time. The system may train on other games. - high chance (90%)"
"ta_15_1","Play new levels of Angry Birds better than the best human players. Angry Birds is a game where players try to efficiently destroy 2D block towers with a catapult. For context, this is the goal of the IJCAI Angry Birds AI competition1. 1 aibirds.org - small chance (10%)"
"ta_15_2","Play new levels of Angry Birds better than the best human players. Angry Birds is a game where players try to efficiently destroy 2D block towers with a catapult. For context, this is the goal of the IJCAI Angry Birds AI competition1. 1 aibirds.org - even chance (50%)"
"ta_15_3","Play new levels of Angry Birds better than the best human players. Angry Birds is a game where players try to efficiently destroy 2D block towers with a catapult. For context, this is the goal of the IJCAI Angry Birds AI competition1. 1 aibirds.org - high chance (90%)"
"ta_16_1","Outperform professional game testers on all Atari games using no game-specific knowledge. This includes games like Frostbite, which require planning to achieve sub-goals and initially posed problems for deep Q-networks1, 2. 1 Mnih et al. (2015). Human-level control through deep reinforcementlearning2 Lake et al. (2015). Building Machines That Learn and Think Like People - small chance (10%)"
"ta_16_2","Outperform professional game testers on all Atari games using no game-specific knowledge. This includes games like Frostbite, which require planning to achieve sub-goals and initially posed problems for deep Q-networks1, 2. 1 Mnih et al. (2015). Human-level control through deep reinforcementlearning2 Lake et al. (2015). Building Machines That Learn and Think Like People - even chance (50%)"
"ta_16_3","Outperform professional game testers on all Atari games using no game-specific knowledge. This includes games like Frostbite, which require planning to achieve sub-goals and initially posed problems for deep Q-networks1, 2. 1 Mnih et al. (2015). Human-level control through deep reinforcementlearning2 Lake et al. (2015). Building Machines That Learn and Think Like People - high chance (90%)"
"ta_17_1","Outperform human novices on 50% of Atari games after only 20 minutes of training play time and no game specific knowledge. For context, the original Atari playing deep Q-network outperforms professional game testers on 47% of games1, but used hundreds of hours of play to train2. 1 Mnih et al. (2015). Human-level control through deep reinforcement learning2 Lake et al. (2015). Building Machines That Learn and Think Like People - small chance (10%)"
"ta_17_2","Outperform human novices on 50% of Atari games after only 20 minutes of training play time and no game specific knowledge. For context, the original Atari playing deep Q-network outperforms professional game testers on 47% of games1, but used hundreds of hours of play to train2. 1 Mnih et al. (2015). Human-level control through deep reinforcement learning2 Lake et al. (2015). Building Machines That Learn and Think Like People - even chance (50%)"
"ta_17_3","Outperform human novices on 50% of Atari games after only 20 minutes of training play time and no game specific knowledge. For context, the original Atari playing deep Q-network outperforms professional game testers on 47% of games1, but used hundreds of hours of play to train2. 1 Mnih et al. (2015). Human-level control through deep reinforcement learning2 Lake et al. (2015). Building Machines That Learn and Think Like People - high chance (90%)"
"ta_18_1","Fold laundry as well and as fast as the median human clothing store employee. - small chance (10%)"
"ta_18_2","Fold laundry as well and as fast as the median human clothing store employee. - even chance (50%)"
"ta_18_3","Fold laundry as well and as fast as the median human clothing store employee. - high chance (90%)"
"ta_19_1","Beat the fastest human runners in a 5 kilometer race through city streets using a bipedal robot body. - small chance (10%)"
"ta_19_2","Beat the fastest human runners in a 5 kilometer race through city streets using a bipedal robot body. - even chance (50%)"
"ta_19_3","Beat the fastest human runners in a 5 kilometer race through city streets using a bipedal robot body. - high chance (90%)"
"ta_20_1","Physically assemble any LEGO set given the pieces and instructions, using non-specialized robotics hardware. For context, Fu 20161 successfully joins single large LEGO pieces using model based reinforcement learning and online adaptation.1 Fu et al. (2016). One-Shot Learning of Manipulation Skills with Online Dynamics Adaptation and Neural Network Priors - small chance (10%)"
"ta_20_2","Physically assemble any LEGO set given the pieces and instructions, using non-specialized robotics hardware. For context, Fu 20161 successfully joins single large LEGO pieces using model based reinforcement learning and online adaptation.1 Fu et al. (2016). One-Shot Learning of Manipulation Skills with Online Dynamics Adaptation and Neural Network Priors - even chance (50%)"
"ta_20_3","Physically assemble any LEGO set given the pieces and instructions, using non-specialized robotics hardware. For context, Fu 20161 successfully joins single large LEGO pieces using model based reinforcement learning and online adaptation.1 Fu et al. (2016). One-Shot Learning of Manipulation Skills with Online Dynamics Adaptation and Neural Network Priors - high chance (90%)"
"ta_21_1","Learn to efficiently sort lists of numbers much larger than in any training set used, the way Neural GPUs can do for addition1, but without being given the form of the solution. For context, the original Neural Turing Machines could not do this2, but Neural Programmer-Interpreters3 have been able to do this by training on stack traces (which contain a lot of information about the form of the solution). 1 Kaiser & Sutskever (2015). Neural GPUs Learn Algorithms 2 Zaremba & Sutskever (2015). Reinforcement Learning Neural Turing Machines 3 Reed & de Freitas (2015). Neural Programmer-Interpreters - small chance (10%)"
"ta_21_2","Learn to efficiently sort lists of numbers much larger than in any training set used, the way Neural GPUs can do for addition1, but without being given the form of the solution. For context, the original Neural Turing Machines could not do this2, but Neural Programmer-Interpreters3 have been able to do this by training on stack traces (which contain a lot of information about the form of the solution). 1 Kaiser & Sutskever (2015). Neural GPUs Learn Algorithms 2 Zaremba & Sutskever (2015). Reinforcement Learning Neural Turing Machines 3 Reed & de Freitas (2015). Neural Programmer-Interpreters - even chance (50%)"
"ta_21_3","Learn to efficiently sort lists of numbers much larger than in any training set used, the way Neural GPUs can do for addition1, but without being given the form of the solution. For context, the original Neural Turing Machines could not do this2, but Neural Programmer-Interpreters3 have been able to do this by training on stack traces (which contain a lot of information about the form of the solution). 1 Kaiser & Sutskever (2015). Neural GPUs Learn Algorithms 2 Zaremba & Sutskever (2015). Reinforcement Learning Neural Turing Machines 3 Reed & de Freitas (2015). Neural Programmer-Interpreters - high chance (90%)"
"ta_22_1","Write concise, efficient, human-readable Python code to implement simple algorithms like quicksort. That is, the system should write code that sorts a list, rather than just being able to sort lists. Suppose the system is given only:A specification of what counts as a sorted listSeveral examples of lists undergoing sorting by quicksort - small chance (10%)"
"ta_22_2","Write concise, efficient, human-readable Python code to implement simple algorithms like quicksort. That is, the system should write code that sorts a list, rather than just being able to sort lists. Suppose the system is given only:A specification of what counts as a sorted listSeveral examples of lists undergoing sorting by quicksort - even chance (50%)"
"ta_22_3","Write concise, efficient, human-readable Python code to implement simple algorithms like quicksort. That is, the system should write code that sorts a list, rather than just being able to sort lists. Suppose the system is given only:A specification of what counts as a sorted listSeveral examples of lists undergoing sorting by quicksort - high chance (90%)"
"ta_23_1","Answer any “easily Googleable” factoid questions posed in natural language better than an expert on the relevant topic (with internet access), having found the answers on the internet. Examples of factoid questions: “What is the poisonous substance in Oleander plants?”“How many species of lizard can be found in Great Britain?” - small chance (10%)"
"ta_23_2","Answer any “easily Googleable” factoid questions posed in natural language better than an expert on the relevant topic (with internet access), having found the answers on the internet. Examples of factoid questions: “What is the poisonous substance in Oleander plants?”“How many species of lizard can be found in Great Britain?” - even chance (50%)"
"ta_23_3","Answer any “easily Googleable” factoid questions posed in natural language better than an expert on the relevant topic (with internet access), having found the answers on the internet. Examples of factoid questions: “What is the poisonous substance in Oleander plants?”“How many species of lizard can be found in Great Britain?” - high chance (90%)"
"ta_24_1","Answer any “easily Googleable” factual but open ended question posed in natural language better than an expert on the relevant topic (with internet access), having found the answers on the internet. Examples of open ended questions: “What does it mean if my lights dim when I turn on the microwave?”“When does home insurance cover roof replacement?” - small chance (10%)"
"ta_24_2","Answer any “easily Googleable” factual but open ended question posed in natural language better than an expert on the relevant topic (with internet access), having found the answers on the internet. Examples of open ended questions: “What does it mean if my lights dim when I turn on the microwave?”“When does home insurance cover roof replacement?” - even chance (50%)"
"ta_24_3","Answer any “easily Googleable” factual but open ended question posed in natural language better than an expert on the relevant topic (with internet access), having found the answers on the internet. Examples of open ended questions: “What does it mean if my lights dim when I turn on the microwave?”“When does home insurance cover roof replacement?” - high chance (90%)"
"ta_25_1","Give good answers in natural language to factual questions posed in natural language for which there are no definite correct answers. For example:""What causes the demographic transition?"", ""Is the thylacine extinct?"", ""How safe is seeing a chiropractor?"" - small chance (10%)"
"ta_25_2","Give good answers in natural language to factual questions posed in natural language for which there are no definite correct answers. For example:""What causes the demographic transition?"", ""Is the thylacine extinct?"", ""How safe is seeing a chiropractor?"" - even chance (50%)"
"ta_25_3","Give good answers in natural language to factual questions posed in natural language for which there are no definite correct answers. For example:""What causes the demographic transition?"", ""Is the thylacine extinct?"", ""How safe is seeing a chiropractor?"" - high chance (90%)"
"ta_26_1","Write an essay for a high-school history class that would receive high grades and pass plagiarism detectors. For example answer a question like ‘How did the whaling industry affect the industrial revolution?’ - small chance (10%)"
"ta_26_2","Write an essay for a high-school history class that would receive high grades and pass plagiarism detectors. For example answer a question like ‘How did the whaling industry affect the industrial revolution?’ - even chance (50%)"
"ta_26_3","Write an essay for a high-school history class that would receive high grades and pass plagiarism detectors. For example answer a question like ‘How did the whaling industry affect the industrial revolution?’ - high chance (90%)"
"ta_27_1","Compose a song that is good enough to reach the US Top 40. The system should output the complete song as an audio file. - small chance (10%)"
"ta_27_2","Compose a song that is good enough to reach the US Top 40. The system should output the complete song as an audio file. - even chance (50%)"
"ta_27_3","Compose a song that is good enough to reach the US Top 40. The system should output the complete song as an audio file. - high chance (90%)"
"ta_28_1","Produce a song that is indistinguishable from a new song by a particular artist, e.g. a song that experienced listeners can’t distinguish from a new song by Taylor Swift. - small chance (10%)"
"ta_28_2","Produce a song that is indistinguishable from a new song by a particular artist, e.g. a song that experienced listeners can’t distinguish from a new song by Taylor Swift. - even chance (50%)"
"ta_28_3","Produce a song that is indistinguishable from a new song by a particular artist, e.g. a song that experienced listeners can’t distinguish from a new song by Taylor Swift. - high chance (90%)"
"ta_29_1","Write a novel or short story good enough to make it to the New York Times best-seller list. - small chance (10%)"
"ta_29_2","Write a novel or short story good enough to make it to the New York Times best-seller list. - even chance (50%)"
"ta_29_3","Write a novel or short story good enough to make it to the New York Times best-seller list. - high chance (90%)"
"ta_30_1","For any computer game that can be played well by a machine, explain the machine’s choice of moves in a way that feels concise and complete to a layman. - small chance (10%)"
"ta_30_2","For any computer game that can be played well by a machine, explain the machine’s choice of moves in a way that feels concise and complete to a layman. - even chance (50%)"
"ta_30_3","For any computer game that can be played well by a machine, explain the machine’s choice of moves in a way that feels concise and complete to a layman. - high chance (90%)"
"ta_31_1","Play poker well enough to win the World Series of Poker. - small chance (10%)"
"ta_31_2","Play poker well enough to win the World Series of Poker. - even chance (50%)"
"ta_31_3","Play poker well enough to win the World Series of Poker. - high chance (90%)"
"ta_32_1","After spending time in a virtual world, output the differential equations governing that world in symbolic form.For example, the agent is placed in a game engine where Newtonian mechanics holds exactly and the agent is then able to conduct experiments with a ball and output Newton’s laws of motion. - small chance (10%)"
"ta_32_2","After spending time in a virtual world, output the differential equations governing that world in symbolic form.For example, the agent is placed in a game engine where Newtonian mechanics holds exactly and the agent is then able to conduct experiments with a ball and output Newton’s laws of motion. - even chance (50%)"
"ta_32_3","After spending time in a virtual world, output the differential equations governing that world in symbolic form.For example, the agent is placed in a game engine where Newtonian mechanics holds exactly and the agent is then able to conduct experiments with a ball and output Newton’s laws of motion. - high chance (90%)"
"ta_35_1","Given a one-sentence description of the task and given the same information you would give a human to perform this task (such as information about the house), physically install the electrical wiring in a new home, without more input from humans. - small chance (10%)"
"ta_35_2","Given a one-sentence description of the task and given the same information you would give a human to perform this task (such as information about the house), physically install the electrical wiring in a new home, without more input from humans. - even chance (50%)"
"ta_35_3","Given a one-sentence description of the task and given the same information you would give a human to perform this task (such as information about the house), physically install the electrical wiring in a new home, without more input from humans. - high chance (90%)"
"ta_37_1","Given a one-sentence description of the task, download and fine-tune an existing open source LLM, without more input from humans. The fine-tune must improve the performance of the LLM on some predetermined benchmark metric. - small chance (10%)"
"ta_37_2","Given a one-sentence description of the task, download and fine-tune an existing open source LLM, without more input from humans. The fine-tune must improve the performance of the LLM on some predetermined benchmark metric. - even chance (50%)"
"ta_37_3","Given a one-sentence description of the task, download and fine-tune an existing open source LLM, without more input from humans. The fine-tune must improve the performance of the LLM on some predetermined benchmark metric. - high chance (90%)"
"ta_34_1","Given a list of long-standing unsolved problems in mathematics, such as the Millennium Prize problems or one the problems in ""Unsolved Problems on Mathematics for the 21st Century"", solve one without more input from humans. - small chance (10%)"
"ta_34_2","Given a list of long-standing unsolved problems in mathematics, such as the Millennium Prize problems or one the problems in ""Unsolved Problems on Mathematics for the 21st Century"", solve one without more input from humans. - even chance (50%)"
"ta_34_3","Given a list of long-standing unsolved problems in mathematics, such as the Millennium Prize problems or one the problems in ""Unsolved Problems on Mathematics for the 21st Century"", solve one without more input from humans. - high chance (90%)"
"ta_36_1","Given a study published at a leading machine learning conference, replicate the study without more input from humans. The replication must meet the standards of the ML Reproducibility Challenge (https://paperswithcode.com/rc2022). - small chance (10%)"
"ta_36_2","Given a study published at a leading machine learning conference, replicate the study without more input from humans. The replication must meet the standards of the ML Reproducibility Challenge (https://paperswithcode.com/rc2022). - even chance (50%)"
"ta_36_3","Given a study published at a leading machine learning conference, replicate the study without more input from humans. The replication must meet the standards of the ML Reproducibility Challenge (https://paperswithcode.com/rc2022). - high chance (90%)"
"ta_38_1","Given a set of specifications, build a website from scratch that can handle payment processing, including the frontend, backend, and secure payment integration, without more input from humans. - small chance (10%)"
"ta_38_2","Given a set of specifications, build a website from scratch that can handle payment processing, including the frontend, backend, and secure payment integration, without more input from humans. - even chance (50%)"
"ta_38_3","Given a set of specifications, build a website from scratch that can handle payment processing, including the frontend, backend, and secure payment integration, without more input from humans. - high chance (90%)"
"ta_39_1","Given a one-sentence description of the task and no more input from humans, find and patch a security flaw in an open source project with over 100,000 users. - small chance (10%)"
"ta_39_2","Given a one-sentence description of the task and no more input from humans, find and patch a security flaw in an open source project with over 100,000 users. - even chance (50%)"
"ta_39_3","Given a one-sentence description of the task and no more input from humans, find and patch a security flaw in an open source project with over 100,000 users. - high chance (90%)"
"ta_comment","Do you have any comments on your interpretation of these questions? (optional)"
"ta_consider","Which considerations were important in your answers to these questions? (optional)"
"tb_time_First.Click","Timing - First Click"
"tb_time_Last.Click","Timing - Last Click"
"tb_time_Page.Submit","Timing - Page Submit"
"tb_time_Click.Count","Timing - Click Count"
"tb_1_1","Translate a text written in a newly discovered language into English as well as a team of human experts, using a single other document in both languages (like a Rosetta stone). Suppose all of the words in the text can be found in the translated document, and that the language is a difficult one. - 10 years"
"tb_1_2","Translate a text written in a newly discovered language into English as well as a team of human experts, using a single other document in both languages (like a Rosetta stone). Suppose all of the words in the text can be found in the translated document, and that the language is a difficult one. - 20 years"
"tb_1_3","Translate a text written in a newly discovered language into English as well as a team of human experts, using a single other document in both languages (like a Rosetta stone). Suppose all of the words in the text can be found in the translated document, and that the language is a difficult one. - 50 years"
"tb_2_1","Translate speech in a new language given only unlimited films with subtitles in the new language. Suppose the system has access to training data for other languages, of the kind used now (e.g. same text in two languages for many languages and films with subtitles in many languages). - 10 years"
"tb_2_2","Translate speech in a new language given only unlimited films with subtitles in the new language. Suppose the system has access to training data for other languages, of the kind used now (e.g. same text in two languages for many languages and films with subtitles in many languages). - 20 years"
"tb_2_3","Translate speech in a new language given only unlimited films with subtitles in the new language. Suppose the system has access to training data for other languages, of the kind used now (e.g. same text in two languages for many languages and films with subtitles in many languages). - 50 years"
"tb_3_1","Perform translation about as good as a human who is fluent in both languages but unskilled at translation, for most types of text, and for most popular languages (including languages that are known to be difficult, like Czech, Chinese and Arabic). - 10 years"
"tb_3_2","Perform translation about as good as a human who is fluent in both languages but unskilled at translation, for most types of text, and for most popular languages (including languages that are known to be difficult, like Czech, Chinese and Arabic). - 20 years"
"tb_3_3","Perform translation about as good as a human who is fluent in both languages but unskilled at translation, for most types of text, and for most popular languages (including languages that are known to be difficult, like Czech, Chinese and Arabic). - 50 years"
"tb_4_1","Provide phone banking services as well as human operators can, without annoying customers more than humans. This includes many one-off tasks, such as helping to order a replacement bank card or clarifying how to use part of the bank website to a customer. - 10 years"
"tb_4_2","Provide phone banking services as well as human operators can, without annoying customers more than humans. This includes many one-off tasks, such as helping to order a replacement bank card or clarifying how to use part of the bank website to a customer. - 20 years"
"tb_4_3","Provide phone banking services as well as human operators can, without annoying customers more than humans. This includes many one-off tasks, such as helping to order a replacement bank card or clarifying how to use part of the bank website to a customer. - 50 years"
"tb_5_1","Correctly group images of previously unseen objects into classes, after training on a similar labeled dataset containing completely different classes. The classes should be similar to the ImageNet classes. - 10 years"
"tb_5_2","Correctly group images of previously unseen objects into classes, after training on a similar labeled dataset containing completely different classes. The classes should be similar to the ImageNet classes. - 20 years"
"tb_5_3","Correctly group images of previously unseen objects into classes, after training on a similar labeled dataset containing completely different classes. The classes should be similar to the ImageNet classes. - 50 years"
"tb_6_1","One-shot learning: see only one labeled image of a new object, and then be able to recognize the object in real world scenes, to the extent that a typical human can (i.e. including in a wide variety of settings). For example, see only one image of a platypus, and then be able to recognize platypuses in nature photos. The system may train on labeled images of other objects. Currently, deep networks often need hundreds of examples in classification tasks1, but there has been work on one-shot learning for both classification2 and generative tasks3.1 Lake et al. (2015). Building Machines That Learn and Think Like People2 Koch (2015). Siamese Neural Networks for One-Shot Image Recognition3 Rezende et al. (2016). One-Shot Generalization in Deep Generative Models - 10 years"
"tb_6_2","One-shot learning: see only one labeled image of a new object, and then be able to recognize the object in real world scenes, to the extent that a typical human can (i.e. including in a wide variety of settings). For example, see only one image of a platypus, and then be able to recognize platypuses in nature photos. The system may train on labeled images of other objects. Currently, deep networks often need hundreds of examples in classification tasks1, but there has been work on one-shot learning for both classification2 and generative tasks3.1 Lake et al. (2015). Building Machines That Learn and Think Like People2 Koch (2015). Siamese Neural Networks for One-Shot Image Recognition3 Rezende et al. (2016). One-Shot Generalization in Deep Generative Models - 20 years"
"tb_6_3","One-shot learning: see only one labeled image of a new object, and then be able to recognize the object in real world scenes, to the extent that a typical human can (i.e. including in a wide variety of settings). For example, see only one image of a platypus, and then be able to recognize platypuses in nature photos. The system may train on labeled images of other objects. Currently, deep networks often need hundreds of examples in classification tasks1, but there has been work on one-shot learning for both classification2 and generative tasks3.1 Lake et al. (2015). Building Machines That Learn and Think Like People2 Koch (2015). Siamese Neural Networks for One-Shot Image Recognition3 Rezende et al. (2016). One-Shot Generalization in Deep Generative Models - 50 years"
"tb_7_1","See a short video of a scene, and then be able to construct a 3D model of the scene that is good enough to create a realistic video of the same scene from a substantially different angle.For example, constructing a short video of walking through a house from a video taking a very different path through the house. - 10 years"
"tb_7_2","See a short video of a scene, and then be able to construct a 3D model of the scene that is good enough to create a realistic video of the same scene from a substantially different angle.For example, constructing a short video of walking through a house from a video taking a very different path through the house. - 20 years"
"tb_7_3","See a short video of a scene, and then be able to construct a 3D model of the scene that is good enough to create a realistic video of the same scene from a substantially different angle.For example, constructing a short video of walking through a house from a video taking a very different path through the house. - 50 years"
"tb_8_1","Transcribe human speech with a variety of accents in a noisy environment as well as a typical human can. - 10 years"
"tb_8_2","Transcribe human speech with a variety of accents in a noisy environment as well as a typical human can. - 20 years"
"tb_8_3","Transcribe human speech with a variety of accents in a noisy environment as well as a typical human can. - 50 years"
"tb_9_1","Take a written passage and output a recording that can’t be distinguished from a voice actor, by an expert listener. - 10 years"
"tb_9_2","Take a written passage and output a recording that can’t be distinguished from a voice actor, by an expert listener. - 20 years"
"tb_9_3","Take a written passage and output a recording that can’t be distinguished from a voice actor, by an expert listener. - 50 years"
"tb_10_1","Routinely and autonomously prove mathematical theorems that are publishable in top mathematics journals today, including generating the theorems to prove. - 10 years"
"tb_10_2","Routinely and autonomously prove mathematical theorems that are publishable in top mathematics journals today, including generating the theorems to prove. - 20 years"
"tb_10_3","Routinely and autonomously prove mathematical theorems that are publishable in top mathematics journals today, including generating the theorems to prove. - 50 years"
"tb_11_1","Perform as well as the best human entrants in the Putnam competition—a math contest whose questions have known solutions, but which are difficult for the best young mathematicians. - 10 years"
"tb_11_2","Perform as well as the best human entrants in the Putnam competition—a math contest whose questions have known solutions, but which are difficult for the best young mathematicians. - 20 years"
"tb_11_3","Perform as well as the best human entrants in the Putnam competition—a math contest whose questions have known solutions, but which are difficult for the best young mathematicians. - 50 years"
"tb_12_1","Defeat the best Go players, training only on as many games as the best Go players have played.  For reference, DeepMind’s AlphaGo has probably played a hundred million games of self-play, while Lee Sedol has probably played 50,000 games in his life1. 1 Lake et al. (2015). Building Machines That Learn and Think Like People - 10 years"
"tb_12_2","Defeat the best Go players, training only on as many games as the best Go players have played.  For reference, DeepMind’s AlphaGo has probably played a hundred million games of self-play, while Lee Sedol has probably played 50,000 games in his life1. 1 Lake et al. (2015). Building Machines That Learn and Think Like People - 20 years"
"tb_12_3","Defeat the best Go players, training only on as many games as the best Go players have played.  For reference, DeepMind’s AlphaGo has probably played a hundred million games of self-play, while Lee Sedol has probably played 50,000 games in his life1. 1 Lake et al. (2015). Building Machines That Learn and Think Like People - 50 years"
"tb_13_1","Beat the best human Starcraft 2 players at least 50% of the time, given a video of the screen. Starcraft 2 is a real time strategy game characterized by:Continuous time playHuge action spacePartial observability of enemiesLong term strategic play, e.g. preparing for and then hiding surprise attacks. - 10 years"
"tb_13_2","Beat the best human Starcraft 2 players at least 50% of the time, given a video of the screen. Starcraft 2 is a real time strategy game characterized by:Continuous time playHuge action spacePartial observability of enemiesLong term strategic play, e.g. preparing for and then hiding surprise attacks. - 20 years"
"tb_13_3","Beat the best human Starcraft 2 players at least 50% of the time, given a video of the screen. Starcraft 2 is a real time strategy game characterized by:Continuous time playHuge action spacePartial observability of enemiesLong term strategic play, e.g. preparing for and then hiding surprise attacks. - 50 years"
"tb_14_1","Play a randomly selected computer game, including difficult ones, about as well as a human novice, after playing the game less than 10 minutes of game time. The system may train on other games. - 10 years"
"tb_14_2","Play a randomly selected computer game, including difficult ones, about as well as a human novice, after playing the game less than 10 minutes of game time. The system may train on other games. - 20 years"
"tb_14_3","Play a randomly selected computer game, including difficult ones, about as well as a human novice, after playing the game less than 10 minutes of game time. The system may train on other games. - 50 years"
"tb_15_1","Play new levels of Angry Birds better than the best human players. Angry Birds is a game where players try to efficiently destroy 2D block towers with a catapult. For context, this is the goal of the IJCAI Angry Birds AI competition1. 1 aibirds.org - 10 years"
"tb_15_2","Play new levels of Angry Birds better than the best human players. Angry Birds is a game where players try to efficiently destroy 2D block towers with a catapult. For context, this is the goal of the IJCAI Angry Birds AI competition1. 1 aibirds.org - 20 years"
"tb_15_3","Play new levels of Angry Birds better than the best human players. Angry Birds is a game where players try to efficiently destroy 2D block towers with a catapult. For context, this is the goal of the IJCAI Angry Birds AI competition1. 1 aibirds.org - 50 years"
"tb_16_1","Outperform professional game testers on all Atari games using no game-specific knowledge. This includes games like Frostbite, which require planning to achieve sub-goals and initially posed problems for deep Q-networks1, 2. 1 Mnih et al. (2015). Human-level control through deep reinforcementlearning2 Lake et al. (2015). Building Machines That Learn and Think Like People - 10 years"
"tb_16_2","Outperform professional game testers on all Atari games using no game-specific knowledge. This includes games like Frostbite, which require planning to achieve sub-goals and initially posed problems for deep Q-networks1, 2. 1 Mnih et al. (2015). Human-level control through deep reinforcementlearning2 Lake et al. (2015). Building Machines That Learn and Think Like People - 20 years"
"tb_16_3","Outperform professional game testers on all Atari games using no game-specific knowledge. This includes games like Frostbite, which require planning to achieve sub-goals and initially posed problems for deep Q-networks1, 2. 1 Mnih et al. (2015). Human-level control through deep reinforcementlearning2 Lake et al. (2015). Building Machines That Learn and Think Like People - 50 years"
"tb_17_1","Outperform human novices on 50% of Atari games after only 20 minutes of training play time and no game specific knowledge. For context, the original Atari playing deep Q-network outperforms professional game testers on 47% of games1, but used hundreds of hours of play to train2. 1 Mnih et al. (2015). Human-level control through deep reinforcement learning2 Lake et al. (2015). Building Machines That Learn and Think Like People - 10 years"
